*	* * *
581830.05	-1090432.88
575423.69	-1111615.44
582821.74	-1119524.58
580751.60	-1129364.51
568565.41	-1126940.89
562366.54	-1117752.56
552004.14	-1120981.58
547818.45	-1129729.37
547004.76	-1138004.95
556180.35	-1144161.38
552727.67	-1151636.53
557106.73	-1161182.17
555039.94	-1165097.23
547765.80	-1164939.92
539444.35	-1147803.02
511263.52	-1158099.50
504696.62	-1155292.39
498883.79	-1147406.19
498038.20	-1133517.15
494340.58	-1135781.56
485279.94	-1133229.84
481633.27	-1139242.56
484184.54	-1153283.78
480403.40	-1164818.10
472841.07	-1172442.62
460627.19	-1188276.36
459809.22	-1198419.48
465286.46	-1205321.52
462205.25	-1211946.29
451374.72	-1212992.99
453368.61	-1208013.13
449582.19	-1198086.92
441923.95	-1192620.83
445793.45	-1183687.82
438046.14	-1178724.98
435369.48	-1180464.27
427436.29	-1177035.53
414978.73	-1162384.06
412775.28	-1155969.29
415345.71	-1139284.48
408977.49	-1137059.45
402359.40	-1141167.94
399476.59	-1148355.61
384429.46	-1158230.97
388911.78	-1167408.95
388024.92	-1173065.76
378650.37	-1179320.09
374793.71	-1189707.61
367025.99	-1191902.52
364474.42	-1198903.70
363329.54	-1200092.86
338236.12	-1191650.22
323924.19	-1199965.99
315448.67	-1198287.65
306049.46	-1203608.43
299673.11	-1202958.49
294432.89	-1196346.24
*	* * *
1044990.55	-1062095.50
1035795.11	-1067131.09
1038728.48	-1085416.32
1020165.35	-1084174.38
1008976.69	-1085501.02
997487.85	-1097208.28
989183.09	-1093713.26
961462.17	-1096426.06
946294.71	-1103837.60
942088.07	-1114611.25
934982.11	-1117440.25
931259.31	-1123289.10
925087.71	-1126584.87
922945.85	-1133401.61
919317.38	-1128560.59
911441.90	-1125802.58
889364.13	-1127816.38
883547.13	-1123498.23
867763.36	-1120124.21
851097.51	-1120488.62
*	* * *
1072504.00	-1081334.05
1067948.13	-1077303.14
1063189.51	-1072449.67
1064158.28	-1065111.32
1061757.97	-1061661.28
1044990.55	-1062095.50
*	* * *
851097.51	-1120488.62
833395.93	-1116355.64
813016.13	-1119151.83
803088.25	-1114887.49
775431.27	-1111631.51
769058.90	-1111681.32
765563.88	-1109120.31
747876.42	-1107170.00
732057.36	-1094698.13
730194.88	-1084577.34
720261.08	-1079892.94
717842.11	-1068915.79
*	* * *
581830.05	-1090432.88
582476.44	-1080755.26
574042.81	-1073730.37
563366.52	-1082557.59
561187.95	-1089040.03
555123.31	-1091043.79
550430.24	-1091279.97
539495.01	-1083397.64
533440.09	-1080191.28
532624.82	-1071542.50
511044.46	-1065812.74
*	* * *
717842.11	-1068915.79
726471.27	-1061332.88
717857.17	-1060284.08
686754.48	-1073915.68
676494.10	-1069715.36
669945.77	-1072758.57
664603.59	-1071257.94
658933.92	-1075306.85
652081.75	-1073107.33
638694.62	-1076338.30
626119.65	-1100185.95
610081.82	-1098855.26
597898.11	-1088580.57
581830.05	-1090432.88
*	* * *
1089883.47	-1104590.81
1071747.70	-1087507.46
1072504.00	-1081334.05
*	* * *
845504.74	-1209669.91
842078.61	-1211139.23
839332.16	-1218945.14
831331.80	-1218012.70
807360.00	-1215046.96
803600.29	-1221192.05
*	* * *
294432.89	-1196346.24
287784.12	-1203256.53
275535.28	-1206656.88
273068.96	-1212590.58
275762.21	-1222503.47
*	* * *
1089883.47	-1104590.81
1112960.92	-1117062.94
1115151.10	-1120415.93
1123165.52	-1129701.32
1141225.61	-1136410.41
1154841.63	-1155797.55
1162516.40	-1160974.02
1179524.77	-1159901.29
1186877.77	-1168719.98
1206193.67	-1174755.95
1209611.15	-1172567.81
1253661.20	-1172340.71
1264268.77	-1163195.28
1270665.36	-1148881.98
*	* * *
851097.51	-1120488.62
849259.10	-1130874.86
842591.57	-1131493.46
830592.67	-1141791.02
826549.83	-1149528.02
830190.34	-1156813.62
848902.88	-1162762.95
847193.18	-1167959.29
836571.78	-1178256.88
837016.13	-1181905.81
836378.76	-1184399.91
839817.47	-1187572.74
848753.49	-1186743.81
845256.33	-1200511.91
846722.90	-1205652.22
846733.93	-1207052.73
864185.16	-1214347.91
*	* * *
990740.97	-1206087.81
993331.28	-1201070.81
999148.65	-1196900.19
1012533.77	-1189146.93
1021207.85	-1189492.98
1022352.71	-1172505.73
1022562.73	-1166952.57
1021127.41	-1162522.83
1014419.37	-1159879.92
1011862.51	-1153225.22
1015233.17	-1144249.03
1024886.84	-1143786.77
1026589.87	-1140767.37
1026017.20	-1137729.66
1032584.09	-1134639.78
1043114.36	-1129564.06
1050597.83	-1118554.49
1066804.37	-1119012.80
1060426.67	-1106189.68
1071117.45	-1098933.52
1089883.47	-1104590.81
*	* * *
511044.46	-1065812.74
512221.18	-1054941.04
*	* * *
505004.17	-1040659.84
501819.19	-1050955.85
503261.60	-1060502.54
500312.80	-1066801.07
511044.46	-1065812.74
*	* * *
512221.18	-1054941.04
505004.17	-1040659.84
*	* * *
505004.17	-1040659.84
511475.55	-1030663.74
515062.71	-1028152.04
514932.86	-1021746.01
509061.05	-1015418.17
507530.27	-1008264.52
*	* * *
294432.89	-1196346.24
287277.30	-1180966.64
281826.05	-1179720.42
282625.22	-1172038.04
275473.64	-1167176.29
280699.04	-1153117.30
275167.45	-1143839.23
278981.18	-1134627.33
254344.77	-1129979.68
236926.99	-1136106.41
228139.49	-1145428.89
233627.31	-1153133.57
232619.78	-1156323.78
