*	* unknown
763966.92	-664116.24
763966.75	-664119.04
763962.34	-664170.53
763906.66	-664189.81
763826.22	-664205.25
763687.68	-664205.16
763601.86	-664184.19
763517.83	-664155.40
763386.51	-664084.40
763384.24	-664083.18
763351.47	-664067.89
763303.33	-664044.98
763239.65	-664015.94
763213.90	-664004.43
763148.90	-663975.56
763104.32	-663928.25
763050.64	-663889.49
*	* unknown
759698.98	-661347.72
759643.90	-661326.71
759438.87	-661248.46
759332.56	-661183.55
759213.55	-661111.80
758891.14	-660853.08
758682.49	-660735.68
758485.64	-660664.63
758296.49	-660599.49
758132.02	-660542.84
757897.72	-660374.07
757748.82	-660259.72
757597.48	-660189.40
757511.16	-660104.64
757282.70	-659984.42
757173.61	-659905.33
757123.83	-659877.03
757026.55	-659835.08
756933.47	-659794.81
756774.14	-659750.03
756688.49	-659661.54
756505.78	-659590.23
756303.73	-659481.15
756294.32	-659469.43
756238.64	-659414.03
756176.62	-659349.99
*	* unknown
742878.30	-664021.77
742816.27	-664070.51
742761.80	-664103.29
742728.69	-664131.38
742673.29	-664185.15
742589.92	-664228.15
742547.45	-664275.10
742477.49	-664292.62
742395.22	-664320.06
742329.65	-664342.73
742262.92	-664366.37
742240.30	-664368.01
742237.93	-664370.15
742230.17	-664364.78
742226.00	-664361.88
742220.30	-664361.32
742205.93	-664358.57
742195.79	-664359.17
742185.19	-664362.47
742161.17	-664374.72
742129.26	-664390.05
742092.08	-664401.02
742064.55	-664414.05
742038.22	-664424.36
742022.33	-664427.66
741985.93	-664437.39
741957.80	-664445.77
741946.19	-664447.83
741935.14	-664446.70
741880.44	-664434.64
741845.58	-664435.61
741826.76	-664440.48
741812.45	-664441.62
741785.56	-664437.94
741768.72	-664440.61
741754.60	-664441.69
741727.12	-664447.05
741707.72	-664452.79
741690.03	-664454.76
741666.29	-664466.51
741654.40	-664475.58
741640.33	-664483.97
741615.25	-664490.89
741595.82	-664497.33
741573.83	-664502.87
741553.29	-664514.55
741519.46	-664524.75
741508.09	-664526.67
741484.42	-664524.34
741449.37	-664530.00
741433.81	-664530.45
741408.58	-664536.46
741392.64	-664538.61
741381.45	-664536.68
741357.75	-664528.39
741344.11	-664525.95
741319.45	-664527.24
741295.49	-664525.16
741272.33	-664526.33
741259.74	-664525.62
741237.60	-664522.03
741220.51	-664523.12
741188.72	-664533.73
741179.31	-664535.52
741170.35	-664533.02
741163.38	-664529.23
741126.98	-664505.33
741112.43	-664495.25
741098.36	-664488.71
741086.51	-664480.79
741078.43	-664474.21
741064.67	-664460.39
741041.03	-664438.89
741033.91	-664434.56
741004.25	-664418.43
740981.34	-664407.61
740963.89	-664400.64
740944.29	-664394.18
740920.58	-664388.86
740891.98	-664387.21
740884.22	-664385.82
740867.52	-664383.64
740844.08	-664379.25
740834.81	-664378.07
740811.99	-664376.83
740807.52	-664375.88
740779.27	-664368.18
740771.23	-664365.46
740755.71	-664360.20
740749.06	-664358.01
740742.35	-664356.22
740737.11	-664355.67
740726.56	-664353.74
*	* unknown
749220.85	-660993.95
749146.27	-661015.50
749066.98	-661062.82
748962.12	-661125.37
748869.54	-661180.61
748794.66	-661217.87
748723.02	-661253.61
748652.21	-661288.93
748584.12	-661322.25
748450.50	-661387.61
748382.59	-661422.74
748323.77	-661453.16
748187.09	-661506.60
748138.51	-661525.49
748080.84	-661549.58
748027.20	-661571.98
747969.91	-661600.45
747914.26	-661628.12
747842.04	-661664.00
747834.55	-661667.68
747821.11	-661675.32
747803.84	-661703.84
747791.15	-661772.83
747778.97	-661839.01
747766.79	-661907.00
747752.23	-661988.85
747747.09	-662013.46
747739.62	-662049.54
747726.48	-662085.44
747726.14	-662086.43
747723.68	-662090.62
747720.31	-662096.33
747710.96	-662112.21
747693.35	-662133.55
747691.74	-662138.41
747682.60	-662176.43
747679.92	-662190.74
747676.18	-662207.43
747664.32	-662241.87
747658.20	-662276.65
747652.73	-662298.00
747641.61	-662325.57
747629.24	-662348.01
747622.01	-662365.40
747614.75	-662393.99
747613.65	-662410.93
747624.07	-662449.38
747629.47	-662493.67
747635.52	-662574.28
747639.75	-662621.25
747640.84	-662634.08
747642.64	-662673.37
747640.83	-662696.73
747637.90	-662712.94
747632.54	-662731.32
747620.20	-662761.79
747593.59	-662808.21
747583.86	-662822.68
747567.44	-662853.30
747560.33	-662864.83
747545.44	-662895.11
747536.26	-662928.18
747527.01	-662943.14
747509.02	-662957.30
747493.24	-662971.69
747479.16	-662981.50
747458.54	-662987.46
747443.09	-662994.87
747433.11	-662999.54
747416.94	-663008.37
747402.73	-663018.06
747380.82	-663033.98
747360.38	-663046.71
747351.98	-663054.13
747349.13	-663057.21
747347.28	-663061.85
747341.91	-663077.00
747337.22	-663081.04
747313.44	-663102.82
747295.86	-663117.95
747292.61	-663125.87
747289.16	-663132.35
747276.02	-663147.27
747264.15	-663157.28
747259.97	-663159.38
747255.08	-663166.25
747247.46	-663175.51
747245.75	-663177.05
747244.83	-663179.79
747227.21	-663197.08
747223.26	-663200.44
747208.26	-663212.16
747200.95	-663218.04
747190.37	-663228.50
